Invoice ID,Branch,Customer type,Gender,Product Catogry,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment
784-21-9238,Aljahra,Member,Male,Sports and travel,10.17,1,0.5085,10.6785,31-Mar-22,14:15,Cash
308-39-1707,Hawally,Normal,Female,Health and beauty,12.09,1,0.6045,12.6945,30-Mar-22,18:19,Credit card
279-62-1445,Aljahra,Member,Female,Health and beauty,12.54,1,0.627,13.167,01-Mar-22,12:38,Cash
192-98-7397,Aljahra,Normal,Male,Health and beauty,12.78,1,0.639,13.419,26-Mar-22,14:11,Knet
236-86-3015,Aljahra,Member,Male,Home and lifestyle,13.98,1,0.699,14.679,01-Mar-22,13:38,Knet
490-29-1201,Hawally,Normal,Female,Sports and travel,15.34,1,0.767,16.107,31-Mar-22,11:09,Cash
778-71-5554,Aljahra,Member,Male,Health and beauty,15.43,1,0.7715,16.2015,30-Mar-22,15:46,Credit card
593-08-5916,Hawally,Normal,Female,Health and beauty,15.5,1,0.775,16.275,22-Mar-22,15:23,Knet
470-31-3286,Farwaniya,Normal,Male,Health and beauty,14.82,1,2.223,17.043,17-Mar-22,11:30,Credit card
559-61-5987,Farwaniya,Normal,Female,Health and beauty,17.75,1,0.8875,18.6375,26-Mar-22,18:01,Cash
802-43-8934,Hawally,Normal,Male,Home and lifestyle,18.28,1,0.914,19.194,24-Mar-22,15:05,Credit card
382-03-4532,Hawally,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,30-Mar-22,18:50,Cash
390-80-5128,Farwaniya,Member,Female,Health and beauty,19.15,1,0.9575,20.1075,28-Mar-22,17:58,Credit card
549-96-4200,Aljahra,Member,Male,Food and beverages,17.04,1,3.408,20.448,29-Mar-22,20:15,Knet
756-49-0168,Hawally,Member,Male,Health and beauty,19.7,1,0.985,20.685,27-Mar-22,11:39,Knet
746-19-0921,Aljahra,Normal,Male,Food and beverages,21.58,1,1.079,22.659,04-Mar-22,10:02,Knet
842-29-4695,Aljahra,Member,Male,Sports and travel,17.14,1,5.999,23.139,04-Mar-22,12:07,Credit card
862-29-5914,Aljahra,Normal,Female,Sports and travel,22.38,1,1.119,23.499,17-Mar-22,09:04,Credit card
320-32-8842,Aljahra,Member,Female,Food and beverages,22.62,1,1.131,23.751,31-Mar-22,18:58,Cash
556-72-8512,Aljahra,Normal,Male,Home and lifestyle,22.96,1,1.148,24.108,23-Mar-22,20:47,Knet
633-91-1052,Hawally,Normal,Female,Home and lifestyle,12.03,2,1.203,25.263,30-Mar-22,15:51,Cash
568-88-3448,Hawally,Normal,Male,Health and beauty,25,1,1.25,26.25,30-Mar-22,15:09,Knet
856-22-8149,Hawally,Normal,Female,Home and lifestyle,25.29,1,1.2645,26.5545,01-Mar-22,10:13,Knet
156-20-0370,Farwaniya,Normal,Female,Electronic accessories,25.45,1,1.2725,26.7225,17-Mar-22,18:10,Credit card
838-02-1821,Aljahra,Member,Female,Home and lifestyle,12.73,2,1.273,26.733,31-Mar-22,12:10,Credit card
840-76-5966,Hawally,Member,Male,Sports and travel,12.76,2,1.276,26.796,26-Mar-22,18:06,Knet
585-03-5943,Farwaniya,Normal,Male,Health and beauty,18.11,1,9.055,27.165,31-Mar-22,11:46,Knet
